Patch,S,size,perimeter,altitude,nearest
1,6,7.48,1.01,12,0.91
2,9,4.75,0.84,4,0.9
3,16,3.44,0.75,6,0.11
4,17,320.46,11.82,4,0.16
5,19,43.2,3.02,9,0.1
6,16,121.41,5.68,4,0.09
7,19,26.27,2.4,10,0.24
8,13,37.67,2.69,10,0.17
9,16,4.01,0.76,3,0.73
10,18,2472.82,35.21,11,0.06
11,15,7.48,1.02,8,0.13
12,10,27.04,1.87,18,1.62
13,20,218.63,6.8,11,0.12
14,11,1.65,0.51,4,0.39
15,11,12.45,1.57,9,0.32
16,8,30.75,2.17,10,0.11
17,10,18.19,1.78,14,0.49
18,20,63.51,3.5,9,0.14
19,13,1.74,0.53,7,0.03